Path,Date,Amount in word form,Amount in number form
check_50.png,11-14-91,four million two hundred and eighty thousand,"4,280,000.00"
check_51.png,5-14-89,one hundred and ten,"110.00"
check_52.png,5-1-10,six million two hundred and fifty thousand,"6,250,000.00"
check_53.png,9-16-82,five hundred and twenty thousand,"520,000.00"
check_54.png,9-4-58,three hundred and eighteen,"318.00"
check_55.png,5-26-46,one hundred and twenty-nine,"129.00"
check_56.png,8-21-41,four hundred and eighty,"480.00"
check_57.png,3-8-36,three million eight hundred and ten thousand,"3,810,000.00"
check_58.png,6-27-64,seven million six hundred and thirty thousand,"7,630,000.00"
check_59.png,9-22-68,seven million six hundred and seventy thousand,"7,670,000.00"
check_60.png,3-17-83,five hundred and eighty-nine,"589.00"
check_61.png,10-19-10,six hundred and sixty,"660.00"
check_62.png,1-22-80,five hundred and eighty,"580.00"
check_63.png,3-19-76,six million five hundred and sixty thousand,"6,560,000.00"
check_64.png,8-26-45,seven million three hundred and ten thousand,"7,310,000.00"
check_65.png,6-21-64,four hundred and ninety-four,"494.00"
check_66.png,5-4-86,four hundred and fifty-one,"451.00"
check_67.png,4-13-57,nine hundred and five,"905.00"
check_68.png,1-6-67,six hundred and forty-nine,"649.00"
check_69.png,4-13-16,eight million one hundred thousand,"8,100,000.00"
check_70.png,4-7-45,five hundred and twenty-five,"525.00"
check_71.png,3-22-32,five hundred and ninety-two,"592.00"
check_72.png,4-3-96,seven hundred and thirty-nine,"739.00"
check_73.png,7-24-68,two hundred and three,"203.00"
check_74.png,4-22-21,seven million two hundred and twenty thousand,"7,220,000.00"
check_75.png,8-25-88,one million thirty thousand,"1,030,000.00"
check_76.png,8-27-38,three hundred and seventy-three,"373.00"
check_77.png,7-10-48,two hundred and twenty-four,"224.00"
check_78.png,10-20-91,four hundred and twenty-seven,"427.00"
check_79.png,2-20-36,two million three hundred and eighty thousand,"2,380,000.00"
check_80.png,6-15-74,five million four hundred and sixty thousand,"5,460,000.00"
check_81.png,2-22-97,five million nine hundred and sixty thousand,"5,960,000.00"
check_82.png,5-11-24,seven hundred and fifteen,"715.00"
check_83.png,1-16-38,seven hundred and eighty-six,"786.00"
check_84.png,11-23-57,one million four hundred and twenty thousand,"1,420,000.00"
check_85.png,11-11-16,four hundred and thirty-six,"436.00"
check_86.png,11-12-97,five million seven hundred and forty thousand,"5,740,000.00"
check_87.png,9-12-89,two hundred and eighty-nine,"289.00"
check_88.png,11-11-76,five hundred and eighteen,"518.00"
check_89.png,2-27-98,eight hundred and thirty thousand,"830,000.00"
check_90.png,1-5-91,six hundred and forty,"640.00"
check_91.png,7-7-58,seven million nine hundred thousand,"7,900,000.00"
check_92.png,5-16-42,five hundred and thirty-five,"535.00"
check_93.png,3-22-22,seven million five hundred thousand,"7,500,000.00"
check_94.png,3-25-85,seven million eight hundred thousand,"7,800,000.00"
check_95.png,9-20-63,three hundred and twenty-seven,"327.00"
check_96.png,1-1-27,three million six hundred and sixty thousand,"3,660,000.00"
check_97.png,3-10-11,nine million seven hundred and sixty thousand,"9,760,000.00"
check_98.png,3-6-71,seven million three hundred and ten thousand,"7,310,000.00"
check_99.png,10-6-35,nine hundred and four,"904.00"
